date,team1,team2,winner,Year,Team,MatchPlayed,MatchWon,Matchlost,,
5/15/2009,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,2015,DCA,0,0,0,,
5/16/2009,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,2015,DDV,14,5,9,,
5/16/2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,2015,GLS,0,0,0,,
5/17/2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,2015,KXP,14,3,11,,
5/17/2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,2015,KTK,0,0,0,,
5/18/2009,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,2015,KKR,13,7,6,,
5/19/2009,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,2015,MID,16,10,6,,
5/20/2009,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,2015,PWS,0,0,0,,
5/20/2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,2015,RRS,14,7,7,,
5/21/2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,2015,RCB,16,8,8,,
5/21/2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,2015,SHD,14,7,7,,
5/22/2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers,2016,RSP,14,5,9,,
5/23/2009,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,2016,CSK,0,0,0,,
5/24/2009,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,2016,DCH,0,0,0,,
3/12/2010,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,2016,DCA,0,0,0,,
3/13/2010,Mumbai Indians,Rajasthan Royals,Mumbai Indians,2016,DDV,14,7,7,,
3/13/2010,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,2016,GLS,16,9,7,,
3/14/2010,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,2016,KXP,14,4,10,,
3/14/2010,Chennai Super Kings,Deccan Chargers,Deccan Chargers,2016,KTK,0,0,0,,
3/15/2010,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,2016,KKR,15,8,7,,
3/16/2010,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,2016,MID,14,7,7,,
3/16/2010,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,2016,PWS,0,0,0,,
3/17/2010,Delhi Daredevils,Mumbai Indians,Mumbai Indians,2016,RRS,0,0,0,,
3/18/2010,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,2016,RCB,16,9,7,,
3/19/2010,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,2016,SHD,17,11,6,,
3/19/2010,Deccan Chargers,Kings XI Punjab,Deccan Chargers,2017,RSP,16,10,6,,
3/20/2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,2017,CSK,0,0,0,,
3/20/2010,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,2017,DCH,0,0,0,,
3/21/2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers,2017,DCA,0,0,0,,
